"","Partido","agrotox","cartvdam","cons_mp","conv_interam_rac","correios","div_fundpart","dsil","eletrobras","fundeb_igrej","grilagem","imp_renda","improb_base","improb_dolo","improb_nep","ind.BC","jogazar","lib_san_bas","lic_amb","mineracao_votourg","minireftrab","pec.emg","posse_armas","precatorios","proib_desp_pand","refprev","sisteleit","sisteleit_col","sisteleit_dist","telecom","vot_imp"
"160510","AVANTE",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim",NA,NA,"Sim","Sim",NA,"Não",NA,"Sim",NA,NA,"Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Não"
"178921","AVANTE","Sim","Sim","Sim",NA,"Sim",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim","Não"
"198197","AVANTE","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Não",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"204515","AVANTE",NA,NA,"Não","Sim","Não","Não","Sim","Não","Não","Não","Sim","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Não","Não","Não","Não","Sim","Não"
"204375","AVANTE","Sim","Sim","Não","Sim","Não",NA,"Não","Não",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não",NA,NA
"204476","AVANTE","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Não"
"204553","AVANTE","Não","Não","Sim","Sim","Não",NA,"Sim","Não","Sim","Não","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Sim","Sim",NA,NA,NA,"Não",NA
"197438","AVANTE","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"212504","AVANTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211866","CIDADANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,NA
"204377","CIDADANIA","Sim","Sim","Não","Não","Sim",NA,"Não","Não","Sim","Sim","Não","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim"
"178916","CIDADANIA","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim",NA,"Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Não",NA,NA,"Sim","Não"
"164360","CIDADANIA",NA,"Sim","Não","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim",NA,"Sim","Não","Não","Não","Sim","Sim"
"178972","CIDADANIA","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim",NA,"Não","Sim","Sim","Não","Não","Não","Sim","Não"
"141391","CIDADANIA","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Não","Sim",NA,"Não","Não","Sim","Não"
"73466","CIDADANIA","Não","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"74254","MDB","Sim",NA,"Sim",NA,"Sim","Sim",NA,NA,NA,"Sim","Sim",NA,"Sim","Não",NA,"Sim",NA,NA,"Não",NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA
"74010","MDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178888","MDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74806","MDB",NA,NA,NA,"Sim",NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214477","MDB",NA,NA,NA,"Sim",NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
