"","id","nome","siglaPartido"
"1",160510,"Luis Tibé","AVANTE"
"2",178921,"Sebastião Oliveira","AVANTE"
"3",198197,"Greyce Elias","AVANTE"
"4",204515,"André Janones","AVANTE"
"5",204375,"Leda Sadala","AVANTE"
"6",204476,"Chiquinho Brazão","AVANTE"
"7",204553,"Pastor Sargento Isidório","AVANTE"
"8",197438,"Tito","AVANTE"
"9",212504,"Fernando Borja","AVANTE"
"10",211866,"Fabiano Tolentino","CIDADANIA"
"11",204377,"Paula Belmonte","CIDADANIA"
"12",178916,"Daniel Coelho","CIDADANIA"
"13",164360,"Carmen Zanotto","CIDADANIA"
"14",178972,"Alex Manente","CIDADANIA"
"15",141391,"Arnaldo Jardim","CIDADANIA"
"16",73466,"Rubens Bueno","CIDADANIA"
"17",74254,"Leonardo Picciani","MDB"
"18",74010,"VALDIR COLATTO","MDB"
"19",178888,"Victor Mendes","MDB"
"20",74806,"Tadeu Filippelli","MDB"
"21",214477,"Renato Queiroz","MDB"
"22",141401,"Carlos Bezerra","MDB"
"23",74075,"Elcione Barbalho","MDB"
"24",74749,"Mauro Lopes","MDB"
"25",73772,"Hermes Parcianello","MDB"
"26",74079,"José Priante","MDB"
"27",141427,"Fábio Ramalho","MDB"
"28",141434,"Flaviano Melo","MDB"
"29",141523,"Raul Henry","MDB"
"30",73692,"Osmar Terra","MDB"
"31",141405,"Celso Maldaner","MDB"
"32",178975,"Baleia Rossi","MDB"
"33",178933,"Sergio Souza","MDB"
"34",178952,"Walter Alves","MDB"
"35",178954,"Lucio Mosquini","MDB"
"36",178994,"Dulce Miranda","MDB"
"37",178996,"Giovani Feltes","MDB"
"38",178997,"Moses Rodrigues","MDB"
"39",179001,"Márcio Biolchi","MDB"
"40",204436,"Isnaldo Bulhões Jr.","MDB"
"41",204437,"Severino Pessoa","MDB"
"42",160651,"Rogério Peninha Mendonça","MDB"
"43",160559,"Alceu Moreira","MDB"
"44",178876,"Célio Silveira","MDB"
"45",178896,"Newton Cardoso Jr","MDB"
"46",178839,"Jéssica Sales","MDB"
"47",204539,"Hercílio Coelho Diniz","MDB"
"48",204474,"Juarez Costa","MDB"
"49",204471,"Mara Rocha","MDB"
"50",204478,"Vinicius Farah","MDB"
"51",73891,"Darcísio Perondi","MDB"
"52",178863,"Uldurico Junior","MDB"
"53",178884,"Hildo Rocha","MDB"
"54",112437,"João Marcelo Souza","MDB"
"55",204456,"Gutemberg Reis","MDB"
"56",204459,"Daniela do Waguinho","MDB"
"57",204498,"Olival Marques","MDB"
"58",204431,"Marcos Aurélio Sampaio","MDB"
"59",204441,"Otoni de Paula","MDB"
"60",204361,"Carlos Chiodini","MDB"
"61",198783,"Emanuel Pinheiro Neto","MDB"
"62",141552,"Valtenir Pereira","MDB"
"63",204365,"Gilson Marques","NOVO"
"64",156190,"Marcel van Hattem","NOVO"
"65",204519,"Tiago Mitraud","NOVO"
"66",204523,"Lucas Gonzalez","NOVO"
"67",204461,"Paulo Ganime","NOVO"
"68",204528,"Adriana Ventura","NOVO"
"69",204516,"Alexis Fonteyne","NOVO"
"70",204532,"Vinicius Poit","NOVO"
"71",204566,"Marreca Filho","PATRIOTA"
"72",204518,"Dr. Frederico","PATRIOTA"
"73",204413,"Alcides Rodrigues","PATRIOTA"
"74",204494,"Fred Costa","PATRIOTA"
"75",81055,"Márcio Jerry","PCdoB"
"76",74057,"Alice Portugal","PCdoB"
"77",74060,"Daniel Almeida","PCdoB"
"78",178987,"Orlando Silva","PCdoB"
"79",73943,"Perpétua Almeida","PCdoB"
"80",160641,"Professora Marcivania","PCdoB"
"81",141440,"CHICO LOPES","PCdoB"
"82",73801,"Renildo Calheiros","PCdoB"
"83",74848,"Jandira Feghali","PCdoB"
"84",216545,"Totonho Lopes","PDT"
"85",74439,"Wolney Queiroz","PDT"
"86",74467,"Damião Feliciano","PDT"
